comunidad,tamaño,promedio_pagerank,top_5_influyentes
0,350,0.026458,"0, 56, 25, 322, 67"
1,435,0.030602,"107, 1888, 1800, 1352, 1663"
2,128,0.020275,"1687, 1360, 1555, 1136, 1548"
3,431,0.026149,"348, 414, 483, 376, 475"
4,324,0.026830,"917, 1783, 1472, 896, 1277"
5,25,0.027303,"583, 615, 661, 643, 600"
6,206,0.027098,"686, 698, 828, 713, 705"
7,19,0.022754,"3318, 2670, 3325, 2889, 2703"
8,226,0.028724,"2839, 3363, 2754, 3090, 3426"
9,535,0.026922,"1684, 2951, 3101, 3291, 3397"
10,423,0.026336,"1912, 2047, 2313, 136, 2133"
11,237,0.030949,"2543, 2347, 2266, 1985, 2142"
12,73,0.025813,"2659, 1972, 2171, 2364, 1951"
13,19,0.016601,"1988, 2207, 2622, 2650, 2401"
14,548,0.027188,"3437, 3830, 3596, 3545, 3938"
15,60,0.026724,"3980, 4030, 4023, 3998, 3982"
